Data,Visualizações da página Visão geral (computadores),Visualizações da página Visão geral (dispositivos móveis),Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (computadores),Visitantes únicos da página Visão geral (dispositivos móveis),Visitantes únicos da página Visão geral (total),Visualizações da página Dia a dia (computadores),Visualizações da página Dia a dia (dispositivos móveis),Visualizações da página Dia a dia (total),Visitantes únicos da página Dia a dia (computadores),Visitantes únicos da página Dia a dia (dispositivos móveis),Visitantes únicos da página Dia a dia (total),Visualizações da página Vagas (computadores),Visualizações da página Vagas (dispositivos móveis),Visualizações da página Vagas (total),Visitantes únicos da página Vagas (computadores),Visitantes únicos da página Vagas (dispositivos móveis),Visitantes únicos da página Vagas (total),Total de visualizações da página (computadores),Total de visualizações da página (dispositivos móveis),Total de visualizações da página (total),Total de visitantes únicos (computadores),Total de visitantes únicos (dispositivos móveis),Total de visitantes únicos (total)
08/19/2023,47,188,235,23,64,86,0,0,0,0,0,0,5,5,10,5,5,10,62,220,282,23,64,86
08/20/2023,26,231,257,17,67,84,0,0,0,0,0,0,6,15,21,4,11,15,35,266,301,17,67,84
08/21/2023,139,0,139,82,0,82,0,0,0,0,0,0,27,0,27,26,0,26,191,0,191,84,0,84
08/22/2023,160,0,160,90,0,90,0,0,0,0,0,0,37,1,38,36,1,37,221,1,222,90,1,91
08/23/2023,175,0,175,103,0,103,0,0,0,0,0,0,30,0,30,29,0,29,234,0,234,106,0,106
08/24/2023,209,658,867,136,215,350,0,0,0,0,0,0,40,26,66,37,18,55,281,753,1034,137,215,351
08/25/2023,139,505,644,98,150,247,0,0,0,0,0,0,29,18,47,26,10,36,189,599,788,100,150,249
08/26/2023,51,348,399,36,107,143,0,0,0,0,0,0,14,11,25,13,8,21,67,398,465,36,107,143
08/27/2023,57,183,240,28,73,101,0,0,0,0,0,0,11,5,16,10,4,14,76,212,288,28,73,101
08/28/2023,163,367,530,92,138,229,0,0,0,0,0,0,38,10,48,34,9,43,233,406,639,93,138,230
08/29/2023,187,445,632,109,162,269,0,0,0,0,0,0,45,28,73,41,23,64,264,527,791,109,162,269
08/30/2023,137,293,430,87,109,196,0,0,0,0,0,0,28,12,40,27,7,34,194,342,536,87,109,196
08/31/2023,156,372,528,102,123,224,0,0,0,0,0,0,32,14,46,29,13,42,215,433,648,102,123,224
09/01/2023,101,242,343,55,97,152,0,0,0,0,0,0,19,17,36,19,16,35,134,288,422,56,97,153
09/02/2023,44,149,193,23,54,77,0,0,0,0,0,0,9,10,19,9,7,16,55,168,223,24,54,78
09/03/2023,20,185,205,14,48,61,0,0,0,0,0,0,4,5,9,4,5,9,27,217,244,15,48,62
09/04/2023,113,0,113,71,0,71,0,0,0,0,0,0,30,0,30,26,0,26,168,0,168,73,0,73
09/05/2023,139,275,414,79,85,163,0,0,0,0,0,0,29,13,42,27,12,39,193,315,508,79,85,163
09/06/2023,112,335,447,71,103,174,0,0,0,0,0,0,27,13,40,24,11,35,155,378,533,71,103,174
09/07/2023,48,171,219,32,53,82,0,0,0,0,0,0,12,4,16,11,4,15,62,193,255,32,53,82
09/08/2023,79,224,303,51,76,127,0,0,0,0,0,0,23,11,34,20,10,30,120,269,389,51,76,127
09/09/2023,39,0,39,22,0,22,0,0,0,0,0,0,7,0,7,7,0,7,49,0,49,22,0,22
09/10/2023,27,0,27,15,0,15,0,0,0,0,0,0,5,0,5,3,0,3,38,0,38,15,0,15
09/11/2023,150,306,456,86,84,169,0,0,0,0,0,0,33,8,41,32,8,40,210,345,555,86,84,169
09/12/2023,127,321,448,70,111,181,0,0,0,0,0,0,31,18,49,27,14,41,181,373,554,70,111,181
09/13/2023,108,187,295,56,63,119,0,0,0,0,0,0,21,13,34,19,9,28,157,223,380,56,63,119
09/14/2023,93,177,270,60,61,121,0,0,0,0,0,0,21,10,31,20,8,28,127,210,337,60,61,121
09/15/2023,104,0,104,59,0,59,0,0,0,0,0,0,15,0,15,15,0,15,134,0,134,59,0,59
09/16/2023,41,137,178,28,54,82,0,0,0,0,0,0,8,10,18,8,8,16,51,166,217,28,54,82
09/17/2023,36,85,121,20,36,56,0,0,0,0,0,0,9,4,13,9,4,13,45,98,143,20,36,56
09/18/2023,150,358,508,80,112,191,0,0,0,0,0,0,30,17,47,29,15,44,221,403,624,82,112,192
09/19/2023,141,400,541,95,122,216,0,0,0,0,0,0,31,25,56,29,19,48,191,468,659,96,123,218
09/20/2023,159,0,159,111,0,111,0,0,0,0,0,0,36,1,37,34,1,35,230,1,231,111,1,112
09/21/2023,120,305,425,76,113,189,0,0,0,0,0,0,33,18,51,28,16,44,175,369,544,77,113,190
09/22/2023,88,0,88,54,0,54,0,0,0,0,0,0,25,1,26,23,1,24,124,1,125,55,1,56
09/23/2023,31,0,31,22,0,22,0,0,0,0,0,0,8,0,8,8,0,8,43,0,43,22,0,22
09/24/2023,24,109,133,17,38,55,0,0,0,0,0,0,5,2,7,5,2,7,33,126,159,17,38,55
09/25/2023,79,217,296,55,59,113,0,0,0,0,0,0,15,10,25,15,7,22,101,257,358,55,59,113
09/26/2023,88,334,422,55,84,138,0,0,0,0,0,0,19,19,38,16,15,31,118,381,499,55,84,138
09/27/2023,99,201,300,50,70,119,0,0,0,0,0,0,19,5,24,17,5,22,139,227,366,54,70,123
09/28/2023,150,274,424,73,96,168,0,0,0,0,0,0,27,9,36,26,8,34,208,314,522,74,96,169
09/29/2023,66,0,66,39,0,39,0,0,0,0,0,0,11,0,11,10,0,10,84,0,84,39,0,39
09/30/2023,130,616,746,85,193,276,0,0,0,0,0,0,22,29,51,21,24,45,179,723,902,85,193,276
10/01/2023,56,435,491,36,146,180,0,0,0,0,0,0,13,31,44,12,25,37,77,526,603,36,146,180
10/02/2023,179,533,712,114,178,291,0,0,0,0,0,0,34,33,67,34,27,61,229,635,864,115,178,292
10/03/2023,182,472,654,111,169,278,0,0,0,0,0,0,31,29,60,28,23,50,248,578,826,112,169,279
10/04/2023,151,408,559,92,138,229,0,0,0,0,0,0,34,17,51,31,16,47,222,492,714,93,139,231
10/05/2023,175,411,586,133,137,267,0,0,0,0,0,0,32,17,49,30,14,44,241,472,713,133,137,267
10/06/2023,105,300,405,64,90,154,0,0,0,0,0,0,22,11,33,20,10,30,148,327,475,65,90,155
10/07/2023,56,209,265,38,56,94,0,0,0,0,0,0,7,5,12,6,4,10,73,247,320,38,56,94
10/08/2023,36,147,183,23,57,80,0,0,0,0,0,0,7,14,21,6,12,18,45,182,227,24,57,81
10/09/2023,195,460,655,110,153,262,0,0,0,0,0,0,52,26,78,48,21,69,290,544,834,110,154,263
10/10/2023,144,432,576,83,123,202,0,0,0,0,0,0,24,21,45,23,19,42,194,503,697,84,123,203
10/11/2023,116,195,311,67,73,138,0,0,0,0,0,0,15,4,19,15,4,19,146,216,362,67,73,138
10/12/2023,43,184,227,27,52,78,0,0,0,0,0,0,12,9,21,11,6,17,62,220,282,27,52,78
10/13/2023,61,165,226,46,57,102,0,0,0,0,0,0,11,6,17,11,6,17,87,188,275,46,58,103
10/14/2023,54,212,266,39,72,111,0,0,0,0,0,0,11,6,17,11,6,17,80,232,312,40,72,112
10/15/2023,44,130,174,28,45,73,0,0,0,0,0,0,14,6,20,13,5,18,65,161,226,29,45,74
10/16/2023,166,339,505,106,139,245,0,0,0,0,0,0,39,17,56,33,16,49,229,402,631,106,139,245
10/17/2023,462,1383,1845,297,431,720,0,0,0,0,0,0,85,53,138,79,47,126,612,1594,2206,297,431,720
10/18/2023,323,852,1175,189,277,463,0,0,0,0,0,0,59,45,104,54,33,87,418,989,1407,189,277,463
10/19/2023,284,601,885,128,219,343,0,0,0,0,0,0,50,41,91,39,26,65,382,723,1105,128,219,343
10/20/2023,184,521,705,114,174,286,0,0,0,0,0,0,30,34,64,27,28,55,234,625,859,114,175,287
10/21/2023,80,401,481,54,137,191,0,0,0,0,0,0,14,14,28,13,12,25,103,452,555,54,137,191
10/22/2023,49,0,49,39,0,39,0,0,0,0,0,0,11,0,11,11,0,11,67,0,67,40,0,40
10/23/2023,184,0,184,114,0,114,0,0,0,0,0,0,41,2,43,40,2,42,251,2,253,115,2,117
10/24/2023,224,0,224,126,0,126,0,0,0,0,0,0,44,1,45,41,1,42,289,1,290,127,1,128
10/25/2023,287,0,287,147,0,147,0,0,0,0,0,0,40,1,41,35,1,36,370,1,371,149,1,150
10/26/2023,217,447,664,121,153,273,0,0,0,0,0,0,39,14,53,37,11,48,305,504,809,121,153,273
10/27/2023,151,452,603,91,151,241,0,0,0,0,0,0,33,10,43,33,9,42,210,505,715,91,151,241
10/28/2023,58,389,447,40,102,142,0,0,0,0,0,0,14,7,21,12,7,19,76,432,508,40,102,142
10/29/2023,60,258,318,41,83,123,0,0,0,0,0,0,11,10,21,11,10,21,77,293,370,41,83,123
10/30/2023,127,431,558,84,128,210,0,0,0,0,0,0,29,12,41,27,9,36,178,473,651,86,128,212
10/31/2023,153,387,540,87,131,217,0,0,0,0,0,0,33,18,51,29,17,46,222,452,674,89,131,219
11/01/2023,126,268,394,77,99,175,0,0,0,0,0,0,27,10,37,25,9,34,171,305,476,77,99,175
11/02/2023,56,254,310,36,67,103,0,0,0,0,0,0,13,9,22,11,9,20,75,285,360,36,67,103
11/03/2023,174,445,619,103,160,262,0,0,0,0,0,0,40,19,59,37,15,52,236,503,739,105,160,264
11/04/2023,61,235,296,37,85,122,0,0,0,0,0,0,13,16,29,13,11,24,87,278,365,37,85,122
11/05/2023,70,219,289,40,75,114,0,0,0,0,0,0,18,9,27,16,6,22,91,244,335,40,75,114
11/06/2023,186,419,605,120,141,258,0,0,0,0,0,0,42,26,68,41,14,55,247,495,742,121,141,259
11/07/2023,187,517,704,123,167,287,0,0,0,0,0,0,52,36,88,48,31,79,266,603,869,125,167,289
11/08/2023,144,383,527,90,135,222,0,0,0,0,0,0,31,27,58,31,24,55,187,452,639,91,135,223
11/09/2023,145,437,582,76,163,238,0,0,0,0,0,0,24,13,37,23,9,32,188,481,669,77,163,239
11/10/2023,130,314,444,80,110,190,0,0,0,0,0,0,26,9,35,26,8,34,182,351,533,81,110,191
11/11/2023,32,167,199,22,54,75,0,0,0,0,0,0,9,9,18,9,7,16,49,186,235,23,54,76
11/12/2023,40,181,221,25,70,94,0,0,0,0,0,0,13,11,24,12,9,20,65,212,277,26,71,96
11/13/2023,104,309,413,66,99,165,0,0,0,0,0,0,21,9,30,19,6,25,140,346,486,66,99,165
11/14/2023,151,336,487,88,116,203,0,0,0,0,0,0,48,14,62,45,14,59,232,404,636,89,116,204
11/15/2023,97,282,379,61,95,153,0,0,0,0,0,0,19,16,35,19,15,33,136,337,473,62,96,155
11/16/2023,201,431,632,100,124,222,0,0,0,0,0,0,33,15,48,32,14,46,267,494,761,104,124,226
11/17/2023,107,228,335,55,81,133,0,0,0,0,0,0,20,8,28,19,8,27,145,271,416,55,81,133
11/18/2023,57,267,324,39,80,119,0,0,0,0,0,0,10,8,18,9,8,17,72,302,374,39,80,119
11/19/2023,48,194,242,27,73,98,0,0,0,0,0,0,13,7,20,11,7,18,64,230,294,27,73,98
11/20/2023,111,227,338,70,105,172,0,0,0,0,0,0,24,15,39,24,12,36,149,251,400,70,105,172
11/21/2023,183,242,425,107,98,204,0,0,0,0,0,0,38,12,50,37,11,48,257,282,539,108,98,205
11/22/2023,141,329,470,75,114,188,0,0,0,0,0,0,31,29,60,27,20,47,187,408,595,75,114,188
11/23/2023,175,368,543,99,116,212,0,0,0,0,0,0,22,8,30,20,6,26,235,411,646,99,116,212
11/24/2023,122,409,531,75,139,210,0,0,0,0,0,0,28,14,42,27,12,39,168,469,637,75,139,210
11/25/2023,48,208,256,35,76,111,0,0,0,0,0,0,8,9,17,8,8,16,64,236,300,35,76,111
11/26/2023,22,174,196,15,55,70,0,0,0,0,0,0,6,8,14,5,8,13,32,195,227,15,55,70
11/27/2023,121,242,363,65,75,140,0,0,0,0,0,0,23,6,29,21,5,26,174,270,444,66,75,141
11/28/2023,132,362,494,70,112,181,0,0,0,0,0,0,27,13,40,24,12,36,188,398,586,70,113,182
11/29/2023,103,230,333,64,75,139,0,0,0,0,0,0,26,8,34,26,8,34,153,264,417,65,75,140
11/30/2023,210,426,636,93,147,240,0,0,0,0,0,0,35,19,54,32,18,50,271,491,762,93,147,240
12/01/2023,183,303,486,75,115,188,0,0,0,0,0,0,34,15,49,30,14,43,245,365,610,76,115,189
12/02/2023,46,236,282,22,80,102,0,0,0,0,0,0,11,10,21,9,9,18,65,273,338,22,80,102
12/03/2023,42,204,246,25,68,93,0,0,0,0,0,0,6,12,18,6,10,16,57,234,291,25,68,93
12/04/2023,126,350,476,77,99,175,0,0,0,0,0,0,30,11,41,29,9,38,176,375,551,77,99,175
12/05/2023,166,219,385,95,84,178,0,0,0,0,0,0,43,12,55,37,10,47,241,246,487,96,84,179
12/06/2023,20,51,71,11,22,33,0,0,0,0,0,0,4,7,11,4,6,10,27,68,95,11,22,33
12/07/2023,133,172,305,66,74,140,0,0,0,0,0,0,27,8,35,26,8,34,192,193,385,68,74,142
12/08/2023,127,280,407,54,81,135,0,0,0,0,0,0,17,21,38,15,16,31,168,346,514,55,81,136
12/09/2023,37,160,197,20,54,74,0,0,0,0,0,0,5,8,13,5,7,12,51,188,239,20,54,74
12/10/2023,40,91,131,21,39,60,0,0,0,0,0,0,10,8,18,8,5,13,59,105,164,21,39,60
12/11/2023,214,280,494,103,100,200,0,0,0,0,0,0,41,25,66,38,22,60,302,343,645,106,104,207
12/12/2023,349,1236,1585,212,464,673,0,0,0,0,0,0,83,70,153,75,61,136,510,1438,1948,213,468,678
12/13/2023,265,556,821,122,195,315,0,0,0,0,0,0,45,32,77,41,26,67,362,652,1014,123,197,318
12/14/2023,235,382,617,114,147,258,0,0,0,0,0,0,54,30,84,48,19,67,327,454,781,114,148,259
12/15/2023,189,373,562,99,143,238,0,0,0,0,0,0,31,9,40,28,9,37,260,428,688,100,143,239
12/16/2023,74,326,400,44,127,168,0,0,0,0,0,0,20,11,31,17,9,26,112,372,484,44,127,168
12/17/2023,56,225,281,26,98,123,0,0,0,0,0,0,8,12,20,8,8,16,74,266,340,26,99,124
12/18/2023,258,469,727,140,158,294,0,0,0,0,0,0,48,17,65,46,16,62,367,537,904,140,158,294
12/19/2023,351,616,967,160,211,365,0,0,0,0,0,0,60,28,88,54,25,79,464,741,1205,162,212,368
12/20/2023,174,449,623,92,173,263,0,0,0,0,0,0,40,17,57,35,14,49,239,525,764,92,173,263
12/21/2023,213,476,689,139,189,328,0,0,0,0,0,0,45,13,58,43,12,55,290,546,836,139,189,328
12/22/2023,132,332,464,90,134,223,0,0,0,0,0,0,38,18,56,36,17,53,192,389,581,91,134,224
12/23/2023,53,288,341,37,100,136,0,0,0,0,0,0,13,12,25,12,11,23,77,330,407,37,100,136
12/24/2023,43,239,282,29,92,121,0,0,0,0,0,0,11,7,18,10,7,17,59,277,336,29,92,121
12/25/2023,41,260,301,23,97,120,0,0,0,0,0,0,10,13,23,8,12,20,58,313,371,23,97,120
12/26/2023,141,344,485,68,135,201,0,0,0,0,0,0,23,20,43,21,18,39,199,392,591,69,135,202
12/27/2023,150,415,565,85,147,229,0,0,0,0,0,0,39,13,52,35,11,46,216,462,678,86,147,230
12/28/2023,168,423,591,100,165,264,0,0,0,0,0,0,38,17,55,32,14,46,236,472,708,100,165,264
12/29/2023,113,227,340,57,92,148,0,0,0,0,0,0,21,12,33,19,10,29,150,259,409,58,92,149
12/30/2023,38,145,183,23,62,85,0,0,0,0,0,0,6,8,14,6,6,12,54,160,214,23,62,85
12/31/2023,27,105,132,18,40,58,0,0,0,0,0,0,9,4,13,8,3,11,44,116,160,19,40,59
01/01/2024,33,139,172,19,43,61,0,0,0,0,0,0,3,1,4,3,1,4,43,150,193,19,43,61
01/02/2024,80,213,293,56,75,130,0,0,0,0,0,0,19,11,30,18,9,27,107,241,348,58,75,132
01/03/2024,156,335,491,80,128,208,0,0,0,0,0,0,35,22,57,28,19,47,229,403,632,81,128,209
01/04/2024,199,409,608,99,133,230,0,0,0,0,0,0,44,19,63,39,16,55,271,477,748,99,133,230
01/05/2024,230,495,725,110,178,283,0,0,0,0,0,0,38,38,76,37,26,63,302,611,913,111,178,284
01/06/2024,73,320,393,42,86,127,0,0,0,0,0,0,14,6,20,12,5,17,93,344,437,42,86,127
01/07/2024,68,286,354,33,89,121,0,0,0,0,0,0,10,5,15,10,5,15,83,318,401,33,89,121
01/08/2024,210,327,537,104,98,200,0,0,0,0,0,0,34,21,55,32,15,47,275,386,661,104,99,201
01/09/2024,238,525,763,117,153,269,0,0,0,0,0,0,46,17,63,43,15,58,319,598,917,119,153,271
01/10/2024,242,726,968,133,226,354,0,0,0,0,0,0,52,26,78,44,23,67,327,826,1153,133,226,354
01/11/2024,354,928,1282,174,283,449,0,0,0,0,0,0,48,45,93,46,34,80,452,1062,1514,175,284,451
01/12/2024,313,738,1051,136,238,372,0,0,0,0,0,0,39,42,81,35,26,61,372,850,1222,136,238,372
01/13/2024,132,466,598,55,152,205,0,0,0,0,0,0,17,17,34,17,17,34,166,529,695,56,152,206
01/14/2024,90,281,371,49,90,137,0,0,0,0,0,0,11,14,25,11,8,19,110,315,425,49,90,137
01/15/2024,207,631,838,100,176,276,0,0,0,0,0,0,36,17,53,30,16,46,267,696,963,102,176,278
01/16/2024,525,898,1423,220,263,478,0,0,0,0,0,0,66,38,104,60,29,89,642,999,1641,220,264,479
01/17/2024,507,1234,1741,203,344,541,0,0,0,0,0,0,58,37,95,54,33,87,623,1360,1983,204,344,542
01/18/2024,385,908,1293,168,251,416,0,0,0,0,0,0,61,24,85,56,21,77,492,1004,1496,170,251,418
01/19/2024,267,642,909,134,209,342,0,0,0,0,0,0,43,31,74,41,23,64,352,727,1079,136,209,344
01/20/2024,96,391,487,42,122,163,0,0,0,0,0,0,13,17,30,13,12,25,121,432,553,42,122,163
01/21/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/2024,385,668,1053,162,193,354,0,0,0,0,0,0,44,35,79,41,29,70,466,759,1225,165,193,357
01/23/2024,396,805,1201,178,231,406,0,0,0,0,0,0,63,44,107,59,29,88,514,922,1436,179,232,408
01/24/2024,470,1210,1680,238,364,598,0,0,0,0,0,0,79,45,124,72,39,111,604,1354,1958,239,365,600
01/25/2024,353,902,1255,172,306,476,0,0,0,0,0,0,58,52,110,54,38,92,456,1038,1494,174,306,478
01/26/2024,400,780,1180,163,218,380,0,0,0,0,0,0,58,26,84,49,23,72,496,864,1360,164,218,381
01/27/2024,130,411,541,62,130,191,0,0,0,0,0,0,28,12,40,23,12,35,191,451,642,62,130,191
01/28/2024,86,464,550,43,136,175,0,0,0,0,0,0,15,5,20,15,5,20,120,529,649,45,136,177
01/29/2024,429,762,1191,184,226,406,0,0,0,0,0,0,64,20,84,60,17,77,527,855,1382,184,226,406
01/30/2024,428,772,1200,199,234,425,0,0,0,0,0,0,50,37,87,46,26,72,504,878,1382,200,234,426
01/31/2024,496,1045,1541,224,299,517,0,0,0,0,0,0,80,37,117,72,30,101,622,1177,1799,224,299,517
02/01/2024,329,591,920,160,186,341,0,0,0,0,0,0,43,26,69,41,21,62,405,669,1074,160,186,341
02/02/2024,491,1036,1527,235,359,587,0,0,0,0,0,0,70,41,111,66,33,98,619,1161,1780,235,359,587
02/03/2024,177,697,874,89,214,302,0,0,0,0,0,0,21,36,57,20,28,48,214,796,1010,89,214,302
02/04/2024,116,403,519,53,135,186,0,0,0,0,0,0,22,16,38,19,12,31,146,464,610,53,135,186
02/05/2024,486,860,1346,225,243,458,0,0,0,0,0,0,65,18,83,62,14,76,607,941,1548,226,243,459
02/06/2024,287,872,1159,139,283,420,0,0,0,0,0,0,51,53,104,47,44,91,382,1028,1410,141,284,423
02/07/2024,372,701,1073,187,227,414,0,0,0,0,0,0,71,37,108,64,25,89,486,807,1293,188,227,415
02/08/2024,376,724,1100,177,228,402,0,0,0,0,0,0,58,33,91,55,31,86,495,819,1314,178,228,403
02/09/2024,319,566,885,152,201,350,0,0,0,0,0,0,54,24,78,49,20,69,406,636,1042,155,201,353
02/10/2024,124,258,382,54,96,149,0,0,0,0,0,0,15,6,21,13,5,18,155,281,436,54,96,149
02/11/2024,64,228,292,35,87,122,0,0,0,0,0,0,10,15,25,9,13,22,82,268,350,36,88,124
02/12/2024,125,349,474,74,107,178,0,0,0,0,0,0,24,12,36,22,10,32,170,408,578,74,107,178
02/13/2024,110,307,417,66,109,174,0,0,0,0,0,0,22,7,29,21,7,28,150,345,495,66,109,174
02/14/2024,275,592,867,137,179,314,0,0,0,0,0,0,42,47,89,37,27,64,352,715,1067,138,180,316
02/15/2024,321,691,1012,170,244,412,0,0,0,0,0,0,54,41,95,49,31,80,421,803,1224,170,244,412
02/16/2024,473,988,1461,238,332,566,0,0,0,0,0,0,79,56,135,71,43,114,650,1165,1815,239,332,567
02/17/2024,119,489,608,71,140,210,0,0,0,0,0,0,23,23,46,22,18,40,162,568,730,72,140,211
02/18/2024,126,345,471,51,114,164,0,0,0,0,0,0,17,11,28,17,11,28,156,382,538,52,114,165
02/19/2024,302,756,1058,162,231,389,0,0,0,0,0,0,51,35,86,45,26,71,390,869,1259,162,231,389
02/20/2024,436,944,1380,196,249,441,0,0,0,0,0,0,62,31,93,56,29,85,543,1045,1588,197,249,442
02/21/2024,502,983,1485,222,311,524,0,0,0,0,0,0,68,52,120,62,40,102,635,1144,1779,223,311,525
02/22/2024,369,995,1364,179,275,452,0,0,0,0,0,0,67,43,110,59,33,92,503,1143,1646,180,275,453
02/23/2024,262,697,959,139,199,336,0,0,0,0,0,0,51,15,66,49,15,64,349,758,1107,141,199,338
02/24/2024,120,444,564,56,145,200,0,0,0,0,0,0,19,26,45,17,21,38,152,527,679,56,145,200
02/25/2024,129,331,460,62,108,169,0,0,0,0,0,0,16,15,31,15,13,28,167,392,559,62,109,169
02/26/2024,369,588,957,182,184,362,0,0,0,0,0,0,55,31,86,51,21,72,451,672,1123,182,184,362
02/27/2024,414,836,1250,189,256,442,0,0,0,0,0,0,68,37,105,64,29,93,551,929,1480,190,256,443
02/28/2024,370,919,1289,195,301,490,0,0,0,0,0,0,63,74,137,60,48,108,490,1116,1606,196,301,491
02/29/2024,404,889,1293,210,252,461,0,0,0,0,0,0,64,36,100,59,32,91,522,993,1515,211,253,463
03/01/2024,338,1055,1393,152,273,421,0,0,0,0,0,0,42,36,78,40,29,69,420,1181,1601,152,273,421
03/02/2024,160,711,871,86,234,320,0,0,0,0,0,0,22,42,64,19,31,50,199,844,1043,86,234,320
03/03/2024,122,380,502,65,124,187,0,0,0,0,0,0,19,19,38,19,11,30,151,427,578,65,124,187
03/04/2024,425,829,1254,231,285,513,0,0,0,0,0,0,75,53,128,71,44,115,533,950,1483,231,285,513
03/05/2024,374,923,1297,177,273,450,0,0,0,0,0,0,57,80,137,52,69,121,459,1096,1555,177,273,450
03/06/2024,500,1081,1581,239,306,539,0,0,0,0,0,0,83,117,200,80,96,175,641,1309,1950,240,307,541
03/07/2024,376,866,1242,177,268,441,0,0,0,0,0,0,74,100,174,69,87,155,487,1081,1568,177,270,443
03/08/2024,242,832,1074,137,231,366,0,0,0,0,0,0,55,127,182,46,82,128,320,1046,1366,137,231,366
03/09/2024,109,423,532,59,146,204,0,0,0,0,0,0,25,41,66,24,38,62,158,502,660,60,146,205
03/10/2024,88,297,385,41,108,149,0,0,0,0,0,0,14,45,59,12,38,50,111,376,487,41,109,150
03/11/2024,319,488,807,166,172,336,0,0,0,0,0,0,62,73,135,57,54,111,422,608,1030,167,173,338
03/12/2024,426,697,1123,212,216,427,0,0,0,0,0,0,69,71,140,60,59,119,536,819,1355,212,216,427
03/13/2024,393,642,1035,213,252,461,0,0,0,0,0,0,85,99,184,73,82,154,514,798,1312,213,252,461
03/14/2024,515,1029,1544,285,370,651,0,0,0,0,0,0,96,161,257,93,126,219,665,1310,1975,285,370,651
03/15/2024,453,1199,1652,216,355,567,0,0,0,0,0,0,87,138,225,81,119,200,575,1426,2001,218,357,571
03/16/2024,140,432,572,73,138,209,0,0,0,0,0,0,32,59,91,29,47,76,181,552,733,73,138,209
03/17/2024,84,427,511,54,115,166,0,0,0,0,0,0,11,54,65,11,40,51,104,529,633,55,116,168
03/18/2024,334,683,1017,178,215,390,0,0,0,0,0,0,54,81,135,49,68,117,410,825,1235,178,215,390
03/19/2024,527,1057,1584,249,329,572,0,0,0,0,0,0,75,112,187,69,89,158,644,1257,1901,250,329,573
03/20/2024,374,757,1131,203,271,468,0,0,0,0,0,0,69,93,162,67,77,143,497,934,1431,203,271,468
03/21/2024,422,1101,1523,197,291,480,0,0,0,0,0,0,75,144,219,70,120,187,541,1345,1886,197,291,480
03/22/2024,281,917,1198,143,254,391,0,0,0,0,0,0,45,99,144,37,73,110,353,1094,1447,143,254,391
03/23/2024,183,447,630,71,146,214,0,0,0,0,0,0,31,44,75,28,37,65,232,529,761,71,146,214
03/24/2024,121,323,444,53,106,157,0,0,0,0,0,0,18,36,54,16,32,48,155,384,539,53,106,157
